iter	Passed	Remaining
0	8	8971
1	15	7899
2	21	7210
3	27	6781
4	32	6524
5	38	6443
6	45	6420
7	50	6307
8	57	6290
9	63	6254
10	70	6372
11	76	6307
12	81	6218
13	87	6181
14	93	6111
15	99	6130
16	105	6088
17	111	6105
18	118	6106
19	129	6367
20	148	6915
21	157	7022
22	165	7027
23	172	7034
24	178	6977
25	184	6895
26	191	6911
27	197	6861
28	203	6808
29	208	6733
30	213	6660
31	218	6611
32	223	6550
33	228	6486
34	233	6435
35	238	6380
36	243	6334
37	248	6295
38	253	6246
39	258	6211
40	263	6173
41	268	6125
42	273	6089
43	278	6052
44	283	6022
45	288	5985
46	294	5964
47	299	5933
48	303	5899
49	308	5870
50	313	5839
51	318	5812
52	324	5795
53	329	5766
54	334	5744
55	339	5727
56	344	5705
57	350	5687
58	355	5670
59	360	5652
60	365	5630
61	371	5614
62	376	5592
63	380	5571
64	386	5553
65	391	5542
66	396	5528
67	401	5507
68	407	5498
69	412	5482
70	417	5467
71	423	5455
72	428	5444
73	433	5429
74	439	5416
75	444	5400
76	450	5395
77	455	5381
78	460	5370
79	466	5362
80	470	5340
81	474	5317
82	479	5300
83	484	5288
84	489	5264
85	493	5240
86	497	5215
87	502	5203
88	509	5210
89	516	5219
90	521	5214
91	527	5206
92	533	5200
93	539	5196
94	544	5188
95	550	5183
96	556	5183
97	562	5180
98	568	5174
99	574	5166
100	579	5157
101	584	5146
102	590	5139
103	595	5133
104	601	5123
105	606	5116
106	612	5111
107	618	5104
108	623	5099
109	629	5095
110	636	5094
111	642	5092
112	648	5087
113	653	5081
114	659	5071
115	664	5065
116	670	5061
117	676	5059
118	683	5058
119	689	5055
120	695	5050
121	701	5046
122	706	5038
123	712	5032
124	717	5023
125	723	5019
126	733	5042
127	739	5041
128	745	5033
129	750	5024
130	758	5031
131	764	5026
132	769	5018
133	776	5015
134	782	5011
135	788	5006
136	793	4998
137	798	4987
138	803	4980
139	809	4971
140	816	4973
141	821	4965
142	827	4957
143	832	4949
144	837	4939
145	842	4929
146	848	4921
147	853	4911
148	858	4903
149	865	4903
150	871	4900
151	876	4891
152	882	4884
153	887	4874
154	893	4869
155	899	4869
156	905	4861
157	910	4853
158	915	4844
159	920	4834
160	925	4821
161	930	4814
162	935	4803
163	941	4797
164	946	4790
165	951	4781
166	956	4773
167	961	4763
168	966	4754
169	971	4744
170	976	4733
171	981	4722
172	985	4711
173	990	4701
174	994	4689
175	999	4680
176	1004	4672
177	1011	4669
178	1015	4659
179	1021	4652
180	1026	4646
181	1032	4639
182	1037	4633
183	1043	4627
184	1048	4619
185	1053	4611
186	1059	4605
187	1063	4594
188	1069	4587
189	1074	4581
190	1079	4573
191	1085	4566
192	1090	4558
193	1095	4552
194	1102	4553
195	1109	4550
196	1117	4556
197	1124	4553
198	1129	4547
199	1135	4542
200	1140	4533
201	1145	4526
202	1150	4517
203	1156	4510
204	1161	4503
205	1166	4495
206	1171	4486
207	1176	4479
208	1181	4470
209	1186	4462
210	1190	4453
211	1195	4443
212	1200	4435
213	1206	4430
214	1211	4422
215	1216	4415
216	1221	4407
217	1226	4398
218	1231	4391
219	1236	4384
220	1241	4376
221	1246	4368
222	1251	4360
223	1257	4354
224	1262	4348
225	1268	4343
226	1273	4335
227	1278	4328
228	1283	4322
229	1288	4314
230	1294	4309
231	1299	4302
232	1304	4292
233	1309	4285
234	1314	4279
235	1319	4270
236	1324	4263
237	1329	4258
238	1335	4252
239	1341	4248
240	1346	4242
241	1352	4234
242	1357	4227
243	1362	4219
244	1366	4211
245	1371	4204
246	1377	4198
247	1382	4191
248	1387	4184
249	1393	4179
250	1397	4169
251	1401	4160
252	1406	4151
253	1410	4141
254	1413	4130
255	1417	4119
256	1424	4117
257	1430	4115
258	1436	4108
259	1441	4103
260	1447	4097
261	1452	4092
262	1458	4087
263	1464	4084
264	1471	4080
265	1477	4075
266	1483	4071
267	1490	4071
268	1496	4067
269	1503	4064
270	1508	4057
271	1514	4052
272	1520	4048
273	1526	4045
274	1533	4042
275	1539	4039
276	1545	4035
277	1551	4029
278	1558	4026
279	1563	4021
280	1570	4019
281	1576	4013
282	1581	4007
283	1586	3999
284	1594	4000
285	1601	3997
286	1607	3992
287	1612	3985
288	1617	3979
289	1622	3971
290	1626	3963
291	1632	3957
292	1637	3951
293	1642	3944
294	1647	3937
295	1653	3932
296	1659	3928
297	1665	3923
298	1671	3919
299	1677	3914
300	1682	3907
301	1687	3900
302	1693	3894
303	1699	3890
304	1704	3883
305	1709	3876
306	1714	3869
307	1719	3863
308	1725	3858
309	1731	3853
310	1736	3847
311	1741	3840
312	1746	3833
313	1751	3827
314	1756	3820
315	1761	3813
316	1766	3806
317	1771	3799
318	1776	3793
319	1781	3785
320	1786	3778
321	1791	3771
322	1795	3764
323	1800	3757
324	1805	3750
325	1810	3743
326	1815	3736
327	1820	3729
328	1825	3723
329	1830	3717
330	1835	3710
331	1840	3702
332	1844	3695
333	1848	3686
334	1853	3678
335	1857	3671
336	1861	3662
337	1866	3654
338	1871	3648
339	1875	3639
340	1879	3632
341	1884	3626
342	1888	3617
343	1893	3610
344	1898	3603
345	1902	3595
346	1906	3588
347	1911	3580
348	1915	3572
349	1919	3564
350	1923	3557
